series,pattern,pump_size,casing_ysm_ref,impeller_ysm_ref
G196,Goulds 3196,1x1.5-6,GAB100,GAB3
G196,Goulds 3196,1.5x3-6,GAD100,GAD3
G196,Goulds 3196,2x3-6,GKE100,GKE3
G196,Goulds 3196,1x1.5-8,GAC100,GAC3
G196,Goulds 3196,1x1.5-8LF,GYB100,GYB3
G196,Goulds 3196,1.5x3-8,GAE100,GAE3
G196,Goulds 3196,2x3-8,GAF100,GAF3
G196,Goulds 3196,3x4-8,GAG100,GAG3
G196,Goulds 3196,3x4-8G,GAGG100,GAGG3
G196,Goulds 3196,1x2-10,GAH100,GAH3
G196,Goulds 3196,1x2-10LF,GYC100,GYC3
G196,Goulds 3196,1.5x3-10,GAJ100,GAJ3
G196,Goulds 3196,2x3-10,GAL100,GAL3
G196,Goulds 3196,3x4-10,GAN100,GAN3
G196,Goulds 3196,3x4-10H,GAP100,GAP3
G196,Goulds 3196,4x6-10,GAQ100,GAQ3
G196,Goulds 3196,4x6-10H,GAR100,GAR3
G196,Goulds 3196,1.5x3-13,GAS100,GAS3
G196,Goulds 3196,1.5x3-13LF,GYD100,GYD3
G196,Goulds 3196,2x3-13,GAT100,GAT3
G196,Goulds 3196,3x4-13,GAU100,GAU3
G196,Goulds 3196,4x6-13,GAW100,GAW3
G196,Goulds 3196,6x8-13,GNA100,GNA3
G196,Goulds 3196,8x10-13,GNB100,GNB3
G196,Goulds 3196,6x8-15,GNF100,GNF3
G196,Goulds 3196,8x10-15,GNC100,GNC3
G196,Goulds 3196,8x10-15G,GND100,GND3
D Mark III,Durco Mark III,1K1.5x1LF-4,DYA100,DYA3
D Mark III,Durco Mark III,1K1.5x1-6,DKA100,DKA3
D Mark III,Durco Mark III,1K3x1.5-6,DKC100,DKC3
D Mark III,Durco Mark III,1K3x2-6,DKE100,DKE3
D Mark III,Durco Mark III,1K1.5x1LF-8,DYB100,DYB3
D Mark III,Durco Mark III,1K1.5x1-8,DKB100,DKB3
D Mark III,Durco Mark III,1K3x1.5-8,DKD100,DKD3
D Mark III,Durco Mark III,2K3x2-8,DAF100,DAF3
D Mark III,Durco Mark III,2K4x3-8,DAG100,DAG3
D Mark III,Durco Mark III,2K2x1LF-10,DYC100,DYC3
D Mark III,Durco Mark III,2K2x1-10A,DAH100,DAH3
D Mark III,Durco Mark III,3x1.5-10,DAJ100,DAJ3
D Mark III,Durco Mark III,2K3x1.5-10A,DAK100,DAK3
D Mark III,Durco Mark III,3x2-10,DAL100,DAL3
D Mark III,Durco Mark III,2K3x2-10A,DAM100,DAM3
D Mark III,Durco Mark III,2K4x3-10,DAN100,DAN3
D Mark III,Durco Mark III,2K4x3-10H,DAP100,DAP3
D Mark III,Durco Mark III,2K6x4-10,DAQ100,DAQ3
D Mark III,Durco Mark III,2K6x4-10H,DAR100,DAR3
D Mark III,Durco Mark III,2K3x1.5LF-13,DYD100,DYD3
D Mark III,Durco Mark III,2K3x1.5-13,DAS100,DAS3
D Mark III,Durco Mark III,2K3x2-13,DAT100,DAT3
D Mark III,Durco Mark III,2K4x3-13,DAU100,DAU3
D Mark III,Durco Mark III,2K4x3-13HH,DAV100,DAV3
D Mark III,Durco Mark III,2K6x4-13A,DAW100,DAW3
D Mark III,Durco Mark III,3K8x6-14A,DNA100,DNA3
D Mark III,Durco Mark III,3K10x8-14,DNB100,DNB3
D Mark III,Durco Mark III,3K6x4-16,DNE100,DNE3
D Mark III,Durco Mark III,8x6-16,DNF100,DNF3
D Mark III,Durco Mark III,3K8x6-16A,DNG100,DNG3
D Mark III,Durco Mark III,3K10x8-16,DNC100,DNC3
D Mark III,Durco Mark III,3K10x8-16H,DND100,DND3
D Mark III,Durco Mark III,3K10x8-17,DNH100,DNH3
